"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"1361","isoComp_00026002","geneComp_00012447","ENST00000538789.5","U","T",0.175333333333333,0.00038600800597539,0.0331882053331445,0.0373333333333333,0.212666666666667
"18169","isoComp_00131687","geneComp_00032424","ENST00000448044.5","U","T",0.174666666666667,1.61086024944327e-10,1.40878297219396e-07,0.0763333333333333,0.251
"8209","isoComp_00013027","geneComp_00007682","ENST00000487878.1","U","T",0.173666666666667,0.0002880938514028,0.026580942015849,0.0163333333333333,0.19
"42831","isoComp_00057947","geneComp_00017714","ENST00000458311.6","U","T",-0.172333333333333,2.95634344887224e-07,0.000103755702476606,0.172333333333333,0
"6547","isoComp_00039686","geneComp_00014768","ENST00000640714.1","U","T",-0.170333333333333,5.3559794794393e-05,0.00735065711261679,0.225666666666667,0.0553333333333333
"17404","isoComp_00030229","geneComp_00013257","ENST00000534941.2","U","T",-0.168333333333333,0.000362231482354544,0.0317904570930428,0.169333333333333,0.001
"67147","isoComp_00000182","geneComp_00000032","ENST00000570932.5","U","T",0.166,5.03435815099589e-06,0.00106666112081719,0.002,0.168
"64380","isoComp_00046244","geneComp_00015792","ENST00000611337.4","U","T",0.165333333333333,3.79106530875382e-10,3.05544996962779e-07,0.0766666666666667,0.242
"35259","isoComp_00095920","geneComp_00025410","ENST00000533093.5","U","T",-0.164,7.0868601070335e-05,0.0091316080827431,0.272666666666667,0.108666666666667
"57653","isoComp_00070167","geneComp_00020083","ENST00000558992.1","U","T",-0.163666666666667,0.000216646804258172,0.0215618649932879,0.887,0.723333333333333
"29865","isoComp_00044846","geneComp_00015618","ENST00000622873.4","U","T",-0.160333333333333,0.000192889515947507,0.0196981419631272,0.171666666666667,0.0113333333333333
"41440","isoComp_00073831","geneComp_00020762","ENST00000424148.1","U","T",-0.16,0.000343500088131238,0.0306273918059575,0.381666666666667,0.221666666666667
"38376","isoComp_00030858","geneComp_00013403","ENST00000277549.9","U","T",0.157,0.000183755385565211,0.0189537800960412,0.0136666666666667,0.170666666666667
"38886","isoComp_00091021","geneComp_00024638","ENST00000376301.2","U","T",-0.155,4.72494887924916e-05,0.00660592852832169,0.169,0.014
"73136","isoComp_00111270","geneComp_00027981","ENST00000591606.1","U","T",-0.155,0.0006584371251769,0.0492193938662664,0.172666666666667,0.0176666666666667
"72262","isoComp_00130317","geneComp_00032221","ENST00000590210.1","U","T",0.154333333333333,3.23367609301587e-12,3.69213950353679e-09,0.004,0.158333333333333
"33371","isoComp_00028394","geneComp_00012847","ENST00000220659.11","U","T",-0.152,4.39307309781303e-05,0.006194609832333,0.872,0.72
"81291","isoComp_00019007","geneComp_00010934","ENST00000635768.1","U","T",0.152,2.10010629627351e-43,1.91828376004503e-39,0,0.152
"1098","isoComp_00123214","geneComp_00030927","ENST00000518294.5","U","T",-0.148333333333333,9.05224586284892e-07,0.000256778482079143,0.148333333333333,0
"57739","isoComp_00023879","geneComp_00012140","ENST00000560096.1","U","T",0.148333333333333,1.88802460873349e-06,0.000461936687603459,0.0773333333333333,0.225666666666667
"7909","isoComp_00117251","geneComp_00029676","ENST00000315872.11","U","T",-0.148,5.72527042637123e-13,7.84438385351876e-10,0.849,0.701
