"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"47157","isoComp_00057538","geneComp_00018375","ENST00000540957.1","UU","UT",0.191333333333333,0.000352701545952864,0.0355703684252688,0.00933333333333333,0.200666666666667
"53080","isoComp_00108957","geneComp_00028825","ENST00000549651.1","UU","UT",-0.190666666666667,1.45099717664682e-05,0.00291348221928063,0.566666666666667,0.376
"55882","isoComp_00044651","geneComp_00016301","ENST00000622559.4","UU","UT",-0.187,0.000172045710096932,0.0206304946336744,0.195666666666667,0.00866666666666667
"52497","isoComp_00041474","geneComp_00015725","ENST00000433805.6","UU","UT",-0.184666666666667,8.19623595566244e-09,6.05945692077507e-06,0.355333333333333,0.170666666666667
"79011","isoComp_00085619","geneComp_00024270","ENST00000615911.4","UU","UT",0.182666666666667,7.83385579417249e-05,0.0111058251991712,0.595333333333333,0.778
"43240","isoComp_00100080","geneComp_00027430","ENST00000464310.2","UU","UT",-0.181333333333333,3.1361226352206e-07,0.00013618536423964,0.182666666666667,0.00133333333333333
"64316","isoComp_00138076","geneComp_00034925","ENST00000572393.1","UU","UT",-0.180666666666667,6.59247844101538e-09,5.08388068052613e-06,0.182333333333333,0.00166666666666667
"38939","isoComp_00131306","geneComp_00033911","ENST00000475086.5","UU","UT",-0.175333333333333,0.000243876306139029,0.0268338929466996,0.180666666666667,0.00533333333333333
"81070","isoComp_00155169","geneComp_00037856","ENST00000545125.1","UU","UT",-0.174666666666667,3.69648306778547e-08,2.2963117557552e-05,0.6,0.425333333333333
"11272","isoComp_00028139","geneComp_00013426","ENST00000620862.4","UU","UT",-0.173,1.39138638985676e-10,1.85770850006921e-07,0.198,0.025
"58558","isoComp_00041710","geneComp_00015753","ENST00000389912.7","UU","UT",0.173,8.15368621257894e-05,0.0114438367287967,0.305,0.478
"65641","isoComp_00156017","geneComp_00038004","ENST00000395091.2","UU","UT",-0.166333333333333,3.67283374210051e-07,0.000154977991697925,0.598666666666667,0.432333333333333
"17298","isoComp_00057985","geneComp_00018457","ENST00000471562.1","UU","UT",-0.166,0.000548743688059853,0.0498353975790803,0.166,0
"80516","isoComp_00153252","geneComp_00037552","ENST00000596504.1","UU","UT",0.164,8.58320702007365e-05,0.0119040431624913,0.0493333333333333,0.213333333333333
"18943","isoComp_00027232","geneComp_00013293","ENST00000651380.1","UU","UT",0.162,0.000348888543166254,0.0353425097889637,0.0113333333333333,0.173333333333333
"80518","isoComp_00153253","geneComp_00037552","ENST00000600460.1","UU","UT",-0.160333333333333,0.000401336889161475,0.0391938770960041,0.277666666666667,0.117333333333333
"44026","isoComp_00089752","geneComp_00025418","ENST00000493646.1","UU","UT",-0.16,4.65947797534392e-08,2.85731411402876e-05,0.282,0.122
"4223","isoComp_00063267","geneComp_00019479","ENST00000469383.2","UU","UT",0.159333333333333,0.000203880583855842,0.023382227729262,0.031,0.190333333333333
"40725","isoComp_00031237","geneComp_00014107","ENST00000466280.1","UU","UT",0.158,8.18285237126011e-05,0.0114553530339761,0.004,0.162
"79484","isoComp_00154498","geneComp_00037750","ENST00000615985.4","UU","UT",-0.155333333333333,0.000178876928416542,0.0213068383908146,0.310666666666667,0.155333333333333
"50301","isoComp_00145392","geneComp_00036151","ENST00000538354.5","UU","UT",-0.151666666666667,1.02313334856956e-06,0.000349329746932405,0.151666666666667,0
"21541","isoComp_00139986","geneComp_00035247","ENST00000454948.3","UU","UT",0.149666666666667,1.94254329282425e-05,0.00365832021599143,0,0.149666666666667
"47331","isoComp_00121259","geneComp_00032077","ENST00000652489.1","UU","UT",-0.148666666666667,0.000384150875200213,0.0380425308477616,0.510333333333333,0.361666666666667
"41630","isoComp_00106468","geneComp_00028416","ENST00000619192.4","UU","UT",0.147,9.33667156710032e-29,8.35211955034959e-25,0.002,0.149
"83119","isoComp_00072157","geneComp_00021160","ENST00000636950.1","UU","UT",0.144333333333333,0.000198883010717656,0.0229562319016102,0,0.144333333333333
"3731","isoComp_00074680","geneComp_00021696","ENST00000370491.7","UU","UT",0.143,2.17902964239044e-06,0.000656059922725824,0.364666666666667,0.507666666666667
"5471","isoComp_00049203","geneComp_00016935","ENST00000368399.1","UU","UT",0.142,0.000133625648663173,0.0169793784107445,0.136333333333333,0.278333333333333
"40714","isoComp_00103835","geneComp_00028035","ENST00000464712.1","UU","UT",0.142,5.11546546834188e-05,0.00788972350811247,0.00266666666666667,0.144666666666667
"27926","isoComp_00065322","geneComp_00019915","ENST00000453558.1","UU","UT",0.139666666666667,0.000196713330380071,0.022794029752784,0.715333333333333,0.855
"15645","isoComp_00107372","geneComp_00028551","ENST00000441964.1","UU","UT",-0.139333333333333,0.00047275250867792,0.0443757352190801,0.534666666666667,0.395333333333333
"15646","isoComp_00107371","geneComp_00028551","ENST00000344697.3","UU","UT",0.139333333333333,0.000360492527236602,0.0362467548528795,0.465333333333333,0.604666666666667
"27925","isoComp_00065323","geneComp_00019915","ENST00000455957.5","UU","UT",-0.139333333333333,0.000498247812454491,0.046187314055043,0.284666666666667,0.145333333333333
"62064","isoComp_00070041","geneComp_00020852","ENST00000559817.1","UU","UT",-0.139,9.13655463464006e-05,0.0124971023676105,0.191333333333333,0.0523333333333333
"5067","isoComp_00122328","geneComp_00032250","ENST00000368902.1","UU","UT",0.138333333333333,4.92523557590384e-05,0.00766628866820924,0.336666666666667,0.475
"60477","isoComp_00100484","geneComp_00027496","ENST00000560346.5","UU","UT",-0.138,0.000137853898141559,0.0173931177126279,0.497,0.359
"44033","isoComp_00123280","geneComp_00032398","ENST00000210633.3","UU","UT",0.138,0.000393206682133661,0.0385683155156433,0.188666666666667,0.326666666666667
