"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"84441",328.220568045723,0.757874705208009,0.18937467816563,4.00198544255827,6.28131642118897e-05,0.00788277417423724,"MAML2"
"4036",616.674129086499,0.749140349736743,0.200024441508552,3.74524405161113,0.000180218497583641,0.018519409523432,"LRP2"
"84333",333.824760790324,0.734891142303193,0.201539648943728,3.64638494784905,0.000265955472561852,0.0254832064621596,"PCGF5"
"81844",599.187945548641,0.728093492627328,0.1731258860352,4.20557265757065,2.60421905604436e-05,0.00380726086946032,"TRIM56"
"57674",4114.66897724916,0.725060384604986,0.0870928007491982,8.32514718056832,8.42240293889906e-17,1.19438096076527e-13,"RNF213"
"3429",404.60378093123,0.719750560760583,0.178658700658797,4.0286342512653,5.61018203045856e-05,0.00723254467035753,"IFI27"
"154761",305.444548222938,0.719295005278786,0.205443856615239,3.50117553831703,0.000463210629697351,0.0377516663203341,"LOC154761"
"6890",4561.89954024684,0.71215263545089,0.0829344329008412,8.58693561337014,8.93196569051688e-18,1.40738006063578e-14,"TAP1"
"7143",752.814377661456,-0.706703559315697,0.13868357707435,-5.095798466006,3.47274415820009e-07,9.8493969814871e-05,"TNR"
"80830",17650.368482537,0.704176481489264,0.0595004201187395,11.8348152850686,2.57910666069411e-32,1.82871557776516e-28,"APOL6"
"54809",1573.64587633053,0.702937415440643,0.0979280216625529,7.17810289135497,7.06853579215735e-13,5.5688281149213e-10,"SAMD9"
"100294362",404.575160802603,-0.681765059530554,0.172560941916497,-3.95086542735993,7.78691025345865e-05,0.00926083663158756,"RNF213-AS1"
"5899",1755.5856999092,0.673906113305804,0.102044918646004,6.60401441098305,4.00170600821583e-11,2.46731273489168e-08,"RALB"
"5630",419.569668972217,-0.647389316862439,0.182293222169071,-3.5513625200064,0.000383242151171222,0.0329379208833885,"PRPH"
"894",793.814291171466,0.640788951006311,0.136183341294328,4.70534020472736,2.53442955635339e-06,0.00053642903789026,"CCND2"
"5698",1055.84672349489,0.629531980035369,0.115836412075854,5.43466401241026,5.48997796445723e-08,2.04877309247284e-05,"PSMB9"
"64072",1768.75935734598,-0.627279967991359,0.132970782219012,-4.71742707325123,2.38845972696394e-06,0.000527023742183275,"CDH23"
"11096",662.363659916564,-0.626990329385051,0.134644166086605,-4.65664683148442,3.21401082833803e-06,0.000670263052303847,"ADAMTS5"
"3430",559.450237362902,0.626626942301382,0.167955914441192,3.73090131649272,0.000190795953925571,0.019326267304418,"IFI35"
"64919",1847.27511465948,0.621192576206068,0.117318081727158,5.2949431755179,1.19053425609301e-07,4.22074157141375e-05,"BCL11B"
"1026",1941.08133888922,0.62057106411932,0.124456719741836,4.98623991863668,6.15656864545149e-07,0.000164728867851222,"CDKN1A"
"10068",711.563972393215,0.613301654083878,0.134231178330277,4.56899553228121,4.90067227968903e-06,0.000965228244420418,"IL18BP"
"3394",858.663099877685,0.612706238718107,0.130030703323546,4.71201203298542,2.45282892490629e-06,0.000527023742183275,"IRF8"
"23660",552.381598757788,0.594276409353801,0.158419670693401,3.7512791609316,0.000175934677457074,0.0183450710369027,"ZKSCAN5"
"1381",2030.11043750988,-0.593601384537535,0.116034024153584,-5.1157528049862,3.12492093971891e-07,9.23218830128205e-05,"CRABP1"
"79595",410.511860351395,-0.58389983373897,0.165759167240286,-3.5225794353355,0.000427368947748244,0.0356501120471639,"SAP130"
"5874",1544.40840786979,0.582930255628849,0.110623765026285,5.26948486602621,1.36807149248681e-07,4.73185898413546e-05,"RAB27B"
"116372",781.691110689424,0.578442223357837,0.137004476797052,4.22206804391287,2.42071003500597e-05,0.00357584260483538,"LYPD1"
"56934",1527.96667485276,-0.576776214454877,0.104448077843765,-5.52213335431243,3.3490814167232e-08,1.31925898807088e-05,"CA10"
"9874",1193.00887847682,0.573470304989147,0.112820911798193,5.08301427323098,3.71491773785179e-07,0.000103296565569561,"TLK1"
"57575",1355.01485592208,0.571104974856319,0.13615567783846,4.19449988368388,2.73474291978161e-05,0.00395728462708399,"PCDH10"
"10384",3965.97789507671,0.560879411962549,0.0840911178442239,6.6699007736056,2.55976434013805e-11,1.65000082306808e-08,"BTN3A3"
"84875",1402.65632047064,0.559319228489609,0.10662173946069,5.24582727048665,1.55582614689263e-07,5.25313585454389e-05,"PARP10"
"163126",1090.38965007855,0.552559596944295,0.116044090294158,4.76163495739958,1.92030811293881e-06,0.000461557446603141,"EID2"
"4741",4554.6004122126,0.548750688173994,0.102857999798794,5.33503168686377,9.5527873798197e-08,3.47354045726213e-05,"NEFM"
"2637",759.85356056104,-0.547201857724278,0.150796110878962,-3.6287531192598,0.000284793429827116,0.0267460637640949,"GBX2"
"23504",1296.66616356559,0.545223339293034,0.13148839770927,4.14655094131242,3.37521112429163e-05,0.0047849407515068,"RIMBP2"
"79834",1679.03261037514,0.543814092485908,0.105370993107353,5.16094682653191,2.45703967765982e-07,7.9189271974759e-05,"PEAK1"
"5100",1105.25282946425,-0.537156072406727,0.132791348351462,-4.04511347369578,5.22977864319189e-05,0.00692098851745878,"PCDH8"
"3433",1063.40118672129,0.535119187982487,0.152572327436168,3.50731483863851,0.000452653248534056,0.0373202076596596,"IFIT2"
"53353",4576.95049677117,0.530403666894872,0.0885103019046116,5.99256420418148,2.06557844292989e-09,9.76398929972958e-07,"LRP1B"
"150297",623.445395822308,-0.52463220872244,0.146644546298573,-3.57757735943532,0.000346793599181055,0.0313240766241181,"C22orf42"
"107986827",655.511476861717,0.523517490484896,0.152095233510118,3.44203745510585,0.000577350302995275,0.0444967643846522,"CZ1P-ASNS"
"6469",8383.71048380389,-0.510632344764315,0.0684120933198749,-7.46406548878351,8.38928713928472e-14,8.49774863729976e-11,"SHH"
"54715",1980.11692688061,0.499945371662879,0.11446105704622,4.36782067687002,1.25492461460632e-05,0.0021702543853332,"RBFOX1"
"55885",1417.81618588734,0.496956435253969,0.125257159920168,3.96748924828489,7.26337878057837e-05,0.00872898088876118,"LMO3"
"1735",1394.40668787093,0.494127221770971,0.111945307338512,4.4140056740099,1.01475297217625e-05,0.00184489896133736,"DIO3"
"567",29982.7145589458,0.491836838721598,0.076566244842571,6.42367716652255,1.33021161033919e-10,7.54549233848803e-08,"B2M"
"114784",1105.23134043177,-0.48891461158183,0.113094580308121,-4.3230596041809,1.53880138578117e-05,0.00253741191299567,"CSMD2"
"22904",1638.94668202402,-0.483200250873153,0.0989879942368393,-4.88140258420677,1.05333954301078e-06,0.000271589237444288,"SBNO2"
"8224",1791.82546189986,-0.478837541444728,0.0982812118674603,-4.87211677945605,1.10408872110694e-06,0.000279590752750314,"SYN3"
"161436",1082.39148422167,0.469970788565444,0.132483402391752,3.54739371182321,0.000389062701859657,0.0332367359944084,"EML5"
"51667",909.818877540664,0.46931084243602,0.135498041041488,3.46359872680611,0.000533000963384891,0.0424634082121412,"NUB1"
"7145",1238.74246153928,-0.466552866876561,0.129598105298561,-3.59999759102759,0.000318220128437586,0.0293031145543727,"TNS1"
"6091",7715.7313586501,0.463329688033759,0.0689928990248815,6.71561413685,1.87275769211126e-11,1.32787884159149e-08,"ROBO1"
"10000",1024.21145164414,0.457213120062684,0.120733088018269,3.78697445387548,0.000152492771199642,0.0162593984088881,"AKT3"
"2537",2501.77560859607,-0.454034346259339,0.112353659042018,-4.04111757579288,5.31970769623445e-05,0.00692098851745878,"IFI6"
"6645",776.50478728736,-0.453782018436727,0.132936193860908,-3.41353250200259,0.000641265090886749,0.0483711715631116,"SNTB2"
"5325",2537.51033354007,0.453332224974587,0.0885740141305387,5.1181176491163,3.08600090223648e-07,9.23218830128205e-05,"PLAGL1"
"5954",1898.60338978191,0.446284121152226,0.102057359455951,4.37287544505643,1.22620689650297e-05,0.00214677037028502,"RCN1"
"10810",1516.93648433997,0.440468674618219,0.123366949332266,3.57039447763193,0.000356444026834834,0.0315920796534049,"WASF3"
"54149",898.474145954472,0.439457082369214,0.124339618117018,3.5343287121538,0.000408812312875339,0.0343877986816917,"C21orf91"
"5720",2475.68306195077,0.439140225453277,0.0864692408958766,5.07857153484295,3.8028324689109e-07,0.000103707629310818,"PSME1"
"6533",1232.79842457811,-0.438683996926,0.117235604506743,-3.74190075422665,0.000182633645128594,0.0186325735364647,"SLC6A6"
"23671",2469.80539253423,-0.434181748600553,0.114190935900608,-3.80224354215352,0.000143391666773446,0.0154048274735927,"TMEFF2"
"961",3793.27935705064,0.433104163817151,0.0843949417290197,5.13187348606493,2.86872305312062e-07,9.04030258140077e-05,"CD47"
"586",970.635038717773,0.429984690023817,0.11769130962519,3.6534956692485,0.000258694153805936,0.0251269985967259,"BCAT1"
"53335",1655.14755231165,0.428883661905891,0.126128263796934,3.40037711607916,0.000672929747620843,0.0499623913665507,"BCL11A"
"10186",1473.46194380546,0.425223466257231,0.101913160990466,4.1724097469316,3.01394999236191e-05,0.00431725503451355,"LHFPL6"
"54549",1826.75426130298,-0.424236719255069,0.0996197364128246,-4.25856094917808,2.05747124700506e-05,0.00324188886153097,"SDK2"
"331",1444.80647336323,0.415973761645737,0.111851158996502,3.71899375364313,0.000200017997444297,0.0199750367729407,"XIAP"
"400759",1798.77116371409,0.414836671744764,0.10073707331675,4.11801393554865,3.82151592357109e-05,0.0052108574338617,"GBP1P1"
"4978",3526.90604463188,-0.410617973732652,0.0929503738606704,-4.41760432667173,9.98009027036048e-06,0.00183802156005171,"OPCML"
"604",2036.00791691281,-0.402381475039296,0.0919438631577447,-4.37638207945368,1.20665422909222e-05,0.0021389454528446,"BCL6"
"23780",3102.13658445427,0.401297776818592,0.0811763090972145,4.94353317219693,7.6719288685858e-07,0.000201473376454473,"APOL2"
"770",2291.8297338096,-0.399497839474927,0.0925392131127464,-4.31706544757619,1.58117286757252e-05,0.00257731177414321,"CA11"
"192669",1548.76227578494,-0.39550005719754,0.108563757669919,-3.64302107522874,0.000269456766415561,0.0256454121110005,"AGO3"
"139411",2706.2323686624,0.392575466442858,0.0947256827983015,4.14434031875774,3.4079332621267e-05,0.0047849407515068,"PTCHD1"
"10769",3168.22386441166,0.378263482536401,0.0976684235032493,3.87293527394569,0.000107532392872421,0.0118210609559984,"PLK2"
"222553",3948.96184005743,0.376497380933484,0.0863910308860003,4.35806098239876,1.31219825236901e-05,0.00224196185745119,"SLC35F1"
