"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"CYP26A1",-1.39881203036472,3.93426026630896,-3.48584621202155,0.00146841841849834,0.638106647423653,-1.08652392341247,-3.18085354800479
"GGNBP1",-0.78887840699699,-1.59756765621296,-3.77751748531864,0.0014888540265214,0.638106647423653,-1.34083578090917,-3.17684730509293
"CXCL14",-1.27460238260612,2.67883996454158,-3.47877376300473,0.0014965957150222,0.638106647423653,-1.14368758357587,-3.175342828634
"NPTX2",1.05598522858454,4.26735650559004,3.45516437859252,0.00159448511561326,0.66439295703758,-1.15371288399424,3.15691373132376
"LOC100128076",-1.91190601959907,-2.32694343441854,-3.68763260225533,0.00182647164607991,0.728816751179099,-1.26643627725881,-3.11708780385482
"TPBG",-0.9428420689485,7.06317347523938,-3.37256907788941,0.00198785832713536,0.728816751179099,-1.31372694567926,-3.09204034071061
"CCNO",-1.36947976622735,-0.794177326571271,-3.36937067921857,0.00200483133694767,0.728816751179099,-1.57854115855777,-3.08951566516376
"TRIM14",0.798934443188761,1.40752598141103,3.34558249278683,0.00213551168248605,0.728816751179099,-1.48123259502179,3.07070900203788
"BBOF1",-0.708366360115738,1.96405240972586,-3.67316141955412,0.00222945761694944,0.728816751179099,-0.853070093168996,-3.05783033976818
"NBPF19",-0.708143763951885,6.29783382150972,-3.59445301957955,0.00224519360021794,0.728816751179099,-0.886188581588554,-3.05572194951056
"DLX5",-2.39601951666937,-0.581816558639558,-3.65978369088086,0.00227351980311499,0.728816751179099,-1.3211323992588,-3.0519605480174
"SMTNL1",-0.910710785598727,-0.141195005649068,-3.59360309410155,0.00229674631569926,0.728816751179099,-1.15882980064723,-3.04890822716596
"STRCP1",-1.70816414538551,-2.40136467714284,-3.72114035506899,0.00230392433889155,0.728816751179099,-1.39611589668854,-3.04797064296585
"CPNE7",1.03466381549039,0.579490310718534,3.30967800834666,0.0023483589007232,0.728816751179099,-1.60142814013736,3.04222550786488
"VPS37B",0.631700554924199,5.43317907030762,3.30087160725557,0.0024035924335537,0.728816751179099,-1.47576353283212,3.03522131135695
"THEGL",-0.819396770578181,-1.59714732100198,-3.29782275294659,0.0024230034286748,0.728816751179099,-1.79344101354948,-3.03279474778954
"POU3F4",1.23690742826024,4.41085737775775,3.29733502119791,0.00242612255778305,0.728816751179099,-1.49313355549257,3.03240648656055
"SLC28A2-AS1",-1.06287135306659,-0.241274251142223,-3.59698206644807,0.00244708999782336,0.728816751179099,-1.86627615230269,-3.0298083082278
"BLNK",0.90758308237495,-1.72535118499188,3.29361311647811,0.00245005186899043,0.728816751179099,-1.8400909852891,3.02944293176556
"ZDHHC8P1",-0.847135053466584,3.45231715606964,-3.2832088279819,0.00251815040517075,0.728816751179099,-1.53374741871895,-3.02115184884035
"SCN2B",-1.04998969657029,0.247332322295104,-3.56974411419088,0.00254793097374099,0.728816751179099,-1.13082684574943,-3.01759032398947
"RNF213-AS1",-0.490482572938575,2.35450037444556,-3.27200460273205,0.00259351174326867,0.728816751179099,-1.58589440365326,-3.01221226706711
